Date,Symbol,Price,Volume
2017-02-16,MSFT,63.498178471668,20546345.0
2017-02-15,MSFT,63.508020098834,17005157.0
2017-02-14,MSFT,63.547386607496,23108426.0
2017-02-13,MSFT,63.312605622493,22920101.0
2017-02-10,MSFT,62.608262667483,18170729.0
2017-02-09,MSFT,62.666957913734,22644443.0
2017-02-08,MSFT,61.962614958725,18096358.0
2017-02-07,MSFT,62.050657828101,20277226.0
2017-02-06,MSFT,62.256091189979,19796360.0
2017-02-03,MSFT,62.295221354146,30301759.0
2017-02-02,MSFT,61.796311761014,45827013.0
2017-02-01,MSFT,62.197395943728,39671528.0
2017-01-31,MSFT,63.2441278352,25270549.0
2017-01-30,MSFT,63.713689805206,31651445.0
2017-01-27,MSFT,64.349554972923,44817972.0
2017-01-26,MSFT,62.872391275612,43554645.0
2017-01-25,MSFT,62.295221354146,24654933.0
2017-01-24,MSFT,62.138700697477,24672940.0
2017-01-23,MSFT,61.590878399137,23097581.0
2017-01-20,MSFT,61.375662496217,30213462.0
2017-01-19,MSFT,60.945230690378,18451655.0
2017-01-18,MSFT,61.140881511214,19670102.0
2017-01-17,MSFT,61.17022913434,20663983.0
2017-01-13,MSFT,61.33653233205,19422310.0
2017-01-12,MSFT,61.248489462674,20968223.0
2017-01-11,MSFT,61.815876843098,21517335.0
2017-01-10,MSFT,61.258272003716,18593004.0
2017-01-09,MSFT,61.277837085799,20382730.0
2017-01-06,MSFT,61.473487906635,19922919.0
2017-01-05,MSFT,60.945230690378,24875968.0
2017-01-04,MSFT,60.945230690378,21339969.0
2017-01-03,MSFT,61.219141839549,20694101.0
2016-12-30,MSFT,60.78871003371,25579908.0
2016-12-29,MSFT,61.532183152886,10250582.0
2016-12-28,MSFT,61.620226022262,14653348.0
2016-12-27,MSFT,61.903919712474,11763173.0
2016-12-23,MSFT,61.864789548307,12403819.0
2016-12-22,MSFT,62.168048320603,22176585.0
2016-12-21,MSFT,62.158265779561,17096304.0
2016-12-20,MSFT,62.158265779561,26028379.0
2016-12-19,MSFT,62.236526107895,34338219.0
2016-12-16,MSFT,60.945230690378,42453083.0
2016-12-15,MSFT,61.219141839549,27669868.0
2016-12-14,MSFT,61.316967249967,30352654.0
2016-12-13,MSFT,61.61044348122,35718868.0
2016-12-12,MSFT,60.818057656835,20198081.0
2016-12-09,MSFT,60.622406835999,27349356.0
2016-12-08,MSFT,59.683282895987,21220753.0
2016-12-07,MSFT,60.035454373491,30808969.0
2016-12-06,MSFT,58.646333545557,19907035.0
2016-12-05,MSFT,58.910462153685,23552658.0
2016-12-02,MSFT,57.961555672631,25515665.0
2016-12-01,MSFT,57.912642967422,34542121.0
2016-11-30,MSFT,58.949592317852,34655435.0
2016-11-29,MSFT,59.761543224321,22366721.0
2016-11-28,MSFT,59.291981254315,20732619.0
2016-11-25,MSFT,59.213720925981,8409616.0
2016-11-23,MSFT,59.086547892437,21848913.0
2016-11-22,MSFT,59.790890847447,23206700.0
2016-11-21,MSFT,59.53654478036,19652595.0
2016-11-18,MSFT,59.037635187228,27686311.0
2016-11-17,MSFT,59.321328877441,32132728.0
2016-11-16,MSFT,58.352857314303,27332475.0
2016-11-15,MSFT,57.589819113043,35904126.0
2016-11-14,MSFT,56.481948816234,41328422.0
2016-11-11,MSFT,57.356583261083,38767843.0
2016-11-10,MSFT,57.045602125137,57822394.0
2016-11-09,MSFT,58.47417171839,49632479.0
2016-11-08,MSFT,58.76571653334,22935355.0
2016-11-07,MSFT,58.717125730848,31664798.0
2016-11-04,MSFT,57.055320285635,28697016.0
2016-11-03,MSFT,57.541228310551,21600427.0
2016-11-02,MSFT,57.755027841514,22147005.0
2016-11-01,MSFT,58.114599779952,24532986.0
2016-10-31,MSFT,58.231217705932,26434697.0
2016-10-28,MSFT,58.18262690344,33574684.0
2016-10-27,MSFT,58.406144594902,28479856.0
2016-10-26,MSFT,58.921207101313,29911608.0
2016-10-25,MSFT,59.271060879252,35137164.0
2016-10-24,MSFT,59.280779039751,54066978.0
2016-10-21,MSFT,57.978545532976,80032206.0
2016-10-20,MSFT,55.636468852881,49455612.0
2016-10-19,MSFT,55.908577346834,22878397.0
2016-10-18,MSFT,56.034913433312,19149538.0
2016-10-17,MSFT,55.607314371386,23830014.0
2016-10-14,MSFT,55.801677581352,27402451.0
2016-10-13,MSFT,55.315769556436,25313748.0
2016-10-12,MSFT,55.500414605904,22177464.0
2016-10-11,MSFT,55.578159889891,26497418.0
2016-10-10,MSFT,56.404203532248,18196509.0
2016-10-07,MSFT,56.170967680288,20089020.0
2016-10-06,MSFT,56.112658717298,16212611.0
2016-10-05,MSFT,56.015477112315,16726411.0
2016-10-04,MSFT,55.626750692382,20085874.0
2016-10-03,MSFT,55.801677581352,19189515.0
2016-09-30,MSFT,55.976604470322,29910788.0
2016-09-29,MSFT,55.782241260355,25463536.0
2016-09-28,MSFT,56.39448537175,20536400.0
2016-09-27,MSFT,56.316740087763,28065071.0
2016-09-26,MSFT,55.296333235439,21688720.0
2016-09-23,MSFT,55.81139574185,19955336.0
2016-09-22,MSFT,56.190404001285,19822203.0
2016-09-21,MSFT,56.132095038295,33707272.0
2016-09-20,MSFT,55.208869790955,17383982.0
2016-09-19,MSFT,55.325487716934,20937104.0
2016-09-16,MSFT,55.636468852881,44606965.0
2016-09-15,MSFT,55.578159889891,27062614.0
2016-09-14,MSFT,54.674370963547,24274273.0
2016-09-13,MSFT,54.936761297002,30130213.0
2016-09-12,MSFT,55.442105642914,29302962.0
2016-09-09,MSFT,54.625780161055,35113934.0
2016-09-08,MSFT,55.81139574185,20146083.0
2016-09-07,MSFT,56.034913433312,17493359.0
2016-09-06,MSFT,55.98632263082,16278416.0
2016-09-02,MSFT,56.04463159381,18900489.0
2016-09-01,MSFT,55.966886309824,26075363.0
2016-08-31,MSFT,55.840550223345,20860269.0
2016-08-30,MSFT,56.258431124773,16930185.0
2016-08-29,MSFT,56.462512495238,16417207.0
2016-08-26,MSFT,56.39448537175,20971202.0
2016-08-25,MSFT,56.530539618726,18552579.0
2016-08-24,MSFT,56.316740087763,18151506.0
2016-08-23,MSFT,56.258431124773,18732373.0
2016-08-22,MSFT,56.04463159381,15221922.0
2016-08-19,MSFT,55.996040791318,17271044.0
2016-08-18,MSFT,55.976604470322,14214341.0
2016-08-17,MSFT,55.937731828329,18856423.0
2016-08-16,MSFT,55.821113902349,20523493.0
2016-08-15,MSFT,56.130158131566,19283902.0
2016-08-12,MSFT,55.956320752631,21655161.0
2016-08-11,MSFT,56.303995510501,18162301.0
2016-08-10,MSFT,56.033581809936,15756913.0
2016-08-09,MSFT,56.20741918887,16920721.0
2016-08-08,MSFT,56.072212338588,19473499.0
2016-08-05,MSFT,55.975636016957,29335221.0
2016-08-04,MSFT,55.425150983664,26587749.0
2016-08-03,MSFT,55.019530432817,22075616.0
2016-08-02,MSFT,54.642882778458,35121958.0
2016-08-01,MSFT,54.642882778458,26003419.0
2016-07-29,MSFT,54.739459100089,30558718.0
2016-07-28,MSFT,54.285550388426,37550411.0
2016-07-27,MSFT,54.2662351241,32327477.0
2016-07-26,MSFT,54.816720157393,28078995.0
2016-07-25,MSFT,54.787747260904,25610587.0
2016-07-22,MSFT,54.633225146295,32157167.0
2016-07-21,MSFT,53.889587469741,32776653.0
2016-07-20,MSFT,53.995821423535,89893301.0
2016-07-19,MSFT,51.272369153559,53336533.0
2016-07-18,MSFT,52.112583151743,31433864.0
2016-07-15,MSFT,51.861484715504,32024385.0
2016-07-14,MSFT,51.900115244156,24545520.0
2016-07-13,MSFT,51.677989704406,25356841.0
2016-07-12,MSFT,51.388260739515,27317555.0
2016-07-11,MSFT,50.789487545407,22269203.0
2016-07-08,MSFT,50.509416212679,28391026.0
2016-07-07,MSFT,49.62091405368,19585194.0
2016-07-06,MSFT,49.62091405368,28167461.0
2016-07-05,MSFT,49.418103778256,24806351.0
2016-07-01,MSFT,49.408446146093,21400392.0
2016-06-30,MSFT,49.418103778256,28527781.0
2016-06-29,MSFT,48.809672951985,31304021.0
2016-06-28,MSFT,47.747333414051,38140658.0
2016-06-27,MSFT,46.771912565584,50576699.0
2016-06-24,MSFT,48.123981068409,133502985.0
2016-06-23,MSFT,50.13276855832,29028833.0
2016-06-22,MSFT,49.244266399321,28816848.0
2016-06-21,MSFT,49.437419042582,34097825.0
2016-06-20,MSFT,48.355764240322,35607946.0
2016-06-17,MSFT,48.4137100333,45710516.0
2016-06-16,MSFT,48.664808469539,31188605.0
2016-06-15,MSFT,47.988774218126,33757639.0
2016-06-14,MSFT,48.123981068409,42577106.0
2016-06-13,MSFT,48.423367665463,83217844.0
2016-06-10,MSFT,49.71749037531,25833151.0
2016-06-09,MSFT,49.852697225592,20305664.0
2016-06-08,MSFT,50.25831777644,21149438.0
2016-06-07,MSFT,50.316263569418,20866770.0
2016-06-06,MSFT,50.345236465907,18243271.0
2016-06-03,MSFT,50.016876972364,23368291.0
2016-06-02,MSFT,50.683253591614,22840779.0
2016-06-01,MSFT,51.040585981646,25324828.0
2016-05-31,MSFT,51.185450464091,37653081.0
2016-05-27,MSFT,50.528731477005,17721438.0
2016-05-26,MSFT,50.113453293994,24335223.0
2016-05-25,MSFT,50.335578833744,24204566.0
2016-05-24,MSFT,49.823724329103,34757944.0
2016-05-23,MSFT,48.31713371167,26118720.0
2016-05-20,MSFT,48.886934009289,23905769.0
2016-05-19,MSFT,48.597205044398,23842358.0
2016-05-18,MSFT,49.070429020386,24907532.0
2016-05-17,MSFT,48.780700055495,27803514.0
2016-05-16,MSFT,49.701271552513,20032017.0
2016-05-13,MSFT,48.982075070468,22592342.0
2016-05-12,MSFT,49.39441438684,24102781.0
2016-05-11,MSFT,48.953307211186,24039140.0
2016-05-10,MSFT,48.924539351904,22890966.0
2016-05-09,MSFT,48.013557141314,17951598.0
2016-05-06,MSFT,48.320414306987,24787301.0
2016-05-05,MSFT,47.88889641776,25390718.0
2016-05-04,MSFT,47.821771412769,24257556.0
2016-05-03,MSFT,47.735467834924,26460244.0
2016-05-02,MSFT,48.531378608387,33114539.0
2016-04-29,MSFT,47.821771412769,48411684.0
2016-04-28,MSFT,47.850539272051,43134846.0
2016-04-27,MSFT,48.847825060486,43369256.0
2016-04-26,MSFT,49.327289381849,33532636.0
2016-04-25,MSFT,49.969771572476,33226948.0
2016-04-22,MSFT,49.653325120376,126834091.0
