State,Code,Name,Type,Visitors
AZ,CAGR,Casa Grande Ruins National Monument,National Monument,135100.0
TN,STRI,Stones River National Battlefield,National Battlefield,122900.0
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial,119200.0
GA,OCMU,Ocmulgee National Monument,National Monument,116300.0
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site,113200.0
AR,PERI,Pea Ridge National Military Park,National Military Park,111000.0
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,109100.0
WA,WHMI,Whitman Mission National Historic Site,National Historic Site,103200.0
WY,FOLA,Fort Laramie National Historic Site,National Historic Site,97100.0
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial,88900.0
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,87300.0
CA,LABE,Lava Beds National Monument,National Monument,85900.0
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park,85900.0
AZ,TUZI,Tuzigoot National Monument,National Monument,84900.0
AR,FOSM,Fort Smith National Historic Site,National Historic Site,84200.0
CA,DEPO,Devils Postpile National Monument,National Monument,83500.0
NY,GEGR,General Grant National Memorial,National Memorial,81900.0
AL,HOBE,Horseshoe Bend National Military Park,National Military Park,80800.0
SD,JECA,Jewel Cave National Monument,National Monument,80500.0
NY,FEHA,Federal Hall National Memorial,National Memorial,80100.0
MI,GRPO,Grand Portage National Monument,National Monument,79400.0
AZ,TUMA,Tumacacori National Historical Park,National Historical Park,78200.0
FL,FOCA,Fort Caroline National Memorial,National Memorial,77200.0
IN,GERO,George Rogers Clark National Historical Park,National Historical Park,77100.0
IA,EFMO,Effigy Mounds National Monument,National Monument,76400.0
AZ,CHIR,Chiricahua National Monument,National Monument,67700.0
NM,AZRU,Aztec Ruins National Monument,National Monument,65400.0
AZ,WACA,Walnut Canyon National Monument,National Monument,64300.0
UT,CANY,Canyonlands National Park,National Park,62500.0
AZ,TONT,Tonto National Monument,National Monument,61300.0
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site,58700.0
TX,FODA,Fort Davis National Historic Site,National Historic Site,56200.0
UT,RABR,Rainbow Bridge National Monument,National Monument,56100.0
PA,JOFL,Johnstown Flood National Memorial,National Memorial,56100.0
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site,55200.0
DC,THIS,Theodore Roosevelt Island,National Memorial,54400.0
UT,GOSP,Golden Spike National Historic Site,National Historic Site,53900.0
MD,HAMP,Hampton National Historic Site,National Historic Site,51000.0
AR,ARPO,Arkansas Post National Memorial,National Memorial,50800.0
IN,INDU,Indiana Dunes National Lakeshore,National Lakeshore,50300.0
NM,PECO,Pecos National Historical Park,National Historical Park,50100.0
NM,CAVO,Capulin Volcano National Monument,National Monument,49500.0
AZ,CORO,Coronado National Memorial,National Memorial,47700.0
AK,SITK,Sitka National Historical Park,National Historical Park,46100.0
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,45700.0
MD,PISC,Piscataway Park,Other Designation,45200.0
TX,GUMO,Guadalupe Mountains National Park,National Park,45100.0
CA,CHIS,Channel Islands National Park,National Park,44700.0
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area,42600.0
UT,NABR,Natural Bridges National Monument,National Monument,42200.0
VI,BUIS,Buck Island Reef National Monument,National Monument,41900.0
MO,GWCA,George Washington Carver National Monument,National Monument,40100.0
NV,GRBA,Great Basin National Park,National Park,38500.0
NC,MOCR,Moores Creek National Battlefield,National Battlefield,37600.0
AZ,NAVA,Navajo National Monument,National Monument,37400.0
NM,GICL,Gila Cliff Dwellings National Monument,National Monument,37200.0
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument,36200.0
VA,BOWA,Booker T. Washington National Monument,National Monument,35600.0
MT,BIHO,Big Hole National Battlefield,National Battlefield,35100.0
SC,COWP,Cowpens National Battlefield,National Battlefield,33900.0
MO,WICR,Wilson's Creek National Battlefield,National Battlefield,33900.0
MA,JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site,33100.0
MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site,31200.0
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site,28900.0
NM,ELMO,El Morro National Monument,National Monument,28200.0
NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,26000.0
AK,GLBA,Glacier Bay National Park,National Park,25400.0
AK,GLBA,Glacier Bay National Preserve,National Preserve,25400.0
NM,CHCU,Chaco Culture National Historical Park,National Historical Park,25300.0
VI,CHRI,Christiansted National Historic Site,National Historic Site,25300.0
AL,RUCA,Russell Cave National Monument,National Monument,23900.0
AZ,PISP,Pipe Spring National Monument,National Monument,23800.0
CA,JOMU,John Muir National Historic Site,National Historic Site,22100.0
CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site,21800.0
NE,HOME,Homestead National Monument of America,National Monument,20700.0
CO,FLFO,Florissant Fossil Beds National Monument,National Monument,20100.0
KS,FOLS,Fort Larned National Historic Site,National Historic Site,20100.0
TX,CHAM,Chamizal National Memorial,National Memorial,17000.0
MA,ADAM,Adams National Historical Park,National Historical Park,16100.0
MI,ISRO,Isle Royale National Park,National Park,15700.0
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site,13300.0
AR,BUFF,Buffalo National River,National River,13200.0
NM,FOUN,Fort Union National Monument,National Monument,12800.0
WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,12200.0
UT,HOVE,Hovenweep National Monument,National Monument,12000.0
NY,THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,11300.0
NY,FOST,Fort Stanwix National Monument,National Monument,8800.0
AK,KATM,Katmai National Park,National Park,8400.0
AK,KATM,Katmai National Preserve,National Preserve,8400.0
NE,AGFO,Agate Fossil Beds National Monument,National Monument,8100.0
FL,DRTO,Dry Tortugas National Park,National Park,6100.0
NY,HAGR,Hamilton Grange National Memorial,National Memorial,5000.0
AZ,FOBO,Fort Bowie National Historic Site,National Historic Site,3400.0
OH,WIHO,William Howard Taft National Historic Site,National Historic Site,3200.0
ND,FOUS,Fort Union Trading Post National Historic Site,National Historic Site,2800.0
MS,BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site,2500.0
TX,ALFL,Alibates Flint Quarries National Monument,National Monument,1700.0
WY,FOBU,Fossil Butte National Monument,National Monument,1000.0
MS,TUPE,Tupelo National Battlefield,National Battlefield,800.0
NC,BLRI,Blue Ridge Parkway,Parkway,11018285.0
MS,NATR,Natchez Trace Parkway,Parkway,8865225.0
NC,GRSM,Great Smoky Mountains National Park,National Park,8034753.0
DC,NACA,National Capital Parks,Park,6280800.0
VA,COLO,Colonial National Historical Park,National Historical Park,5970527.0
MA,CACO,Cape Cod National Seashore,National Seashore,4943890.0
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area,4717594.0
PA,GETT,Gettysburg National Military Park,National Military Park,4205735.0
VA,GWMP,George Washington Memorial Parkway,National Parkway,3605272.0
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway,3081256.0
AZ,GRCA,Grand Canyon National Park,National Park,2698300.0
CO,ROMO,Rocky Mountain National Park,National Park,2513420.0
MO,JEFF,Jefferson National Expansion Memorial,National Memorial,2495951.0
WY,GRTE,Grand Teton National Park,National Park,2490266.0
WA,OLYM,Olympic National Park,National Park,2464637.0
ME,ACAD,Acadia National Park,National Park,2285881.0
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,2261400.0
WY,YELL,Yellowstone National Park,National Park,2236888.0
CA,YOSE,Yosemite National Park,National Park,2190301.0
VA,SHEN,Shenandoah National Park,National Park,2038224.0
DC,LINC,Lincoln Memorial,National Memorial,1989112.0
AR,HOSP,Hot Springs National Park,National Park,1974038.0
SD,MORU,Mount Rushmore National Memorial,National Memorial,1880903.0
KY,MACA,Mammoth Cave National Park,National Park,1699782.0
MD,ASIS,Assateague Island National Seashore,National Seashore,1695918.0
PA,INDE,Independence National Historical Park,National Historical Park,1650368.0
DC,WAMO,Washington Monument,National Memorial,1613482.0
NC,CAHA,Cape Hatteras National Seashore,National Seashore,1577406.0
FL,EVER,Everglades National Park,National Park,1534328.0
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area,1494194.0
DC,WHHO,White House,Other Designation,1412753.0
MT,GLAC,Glacier National Park,National Park,1391299.0
CA,CABR,Cabrillo National Monument,National Monument,1368298.0
HI,HAVO,Hawai'i Volcanoes National Park,National Park,1365104.0
DC,JEFM,Thomas Jefferson Memorial,National Memorial,1314202.0
WA,MORA,Mount Rainier National Park,National Park,1275589.0
SD,BADL,Badlands National Park,National Park,1274600.0
WA,SAJH,San Juan Island National Historical Park,National Historical Park,1250272.0
AZ,PEFO,Petrified Forest National Park,National Park,1223473.0
CA,PORE,Point Reyes National Seashore,National Seashore,1123790.0
NY,STLI,Statue Of Liberty National Monument,National Monument,1089971.0
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,1087547.0
CA,KICA,Kings Canyon National Park,National Park,1051755.0
ND,THRO,Theodore Roosevelt National Park,National Park,998849.0
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area,962742.0
TX,AMIS,Amistad National Recreation Area,National Recreation Area,960058.0
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,929558.0
UT,ZION,Zion National Park,National Park,889417.0
TX,PAIS,Padre Island National Seashore,National Seashore,877553.0
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park,867615.0
CA,SEQU,Sequoia National Park,National Park,867051.0
NM,CAVE,Carlsbad Caverns National Park,National Park,856086.0
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,826046.0
CA,MUWO,Muir Woods National Monument,National Monument,805628.0
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site,789784.0
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,769168.0
CO,CURE,Curecanti National Recreation Area,National Recreation Area,731916.0
VA,MANA,Manassas National Battlefield Park,National Battlefield Park,725883.0
FL,CASA,Castillo de San Marcos National Monument,National Monument,718148.0
NC,GUCO,Guilford Courthouse National Military Park,National Military Park,650010.0
CA,JOTR,Joshua Tree National Park,National Park,602752.0
MA,MIMA,Minute Man National Historical Park,National Historical Park,586655.0
NM,WHSA,White Sands National Monument,National Monument,579456.0
OR,CRLA,Crater Lake National Park,National Park,566655.0
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,557439.0
MS,SHIL,Shiloh National Battlefield,National Battlefield,549988.0
CO,MEVE,Mesa Verde National Park,National Park,546286.0
WA,NOCA,North Cascades National Park,National Park,546266.0
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,542658.0
LA,VICK,Vicksburg National Military Park,National Military Park,534135.0
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,527410.0
CA,FOPO,Fort Point National Historic Site,National Historic Site,512115.0
SD,WICA,Wind Cave National Park,National Park,505000.0
CA,LAVO,Lassen Volcanic National Park,National Park,504641.0
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,504054.0
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park,495753.0
NY,FIIS,Fire Island National Seashore,National Seashore,492589.0
CO,DINO,Dinosaur National Monument,National Monument,488955.0
MD,ANTI,Antietam National Battlefield,National Battlefield,475674.0
VA,RICH,Richmond National Battlefield Park,National Battlefield Park,474947.0
CO,COLM,Colorado National Monument,National Monument,459428.0
VA,PRWI,Prince William Forest Park,Park,458970.0
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,447660.0
MA,SAMA,Salem Maritime National Historic Site,National Historic Site,438469.0
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park,430381.0
UT,BRCA,Bryce Canyon National Park,National Park,424830.0
NC,WRBR,Wright Brothers National Memorial,National Memorial,423725.0
AZ,MOCA,Montezuma Castle National Monument,National Monument,402658.0
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,387717.0
TN,FODO,Fort Donelson National Battlefield,National Battlefield,379796.0
IA,HEHO,Herbert Hoover National Historic Site,National Historic Site,377378.0
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,354364.0
NC,FORA,Fort Raleigh National Historic Site,National Historic Site,322996.0
NJ,MORR,Morristown National Historical Park,National Historical Park,320868.0
AZ,SAGU,Saguaro National Park,National Park,319084.0
TX,LYJO,Lyndon B. Johnson National Historical Park,National Historical Park,316617.0
CA,DEVA,Death Valley National Park,National Park,293999.0
GA,FOPU,Fort Pulaski National Monument,National Monument,284805.0
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,276811.0
PA,FONE,Fort Necessity National Battlefield,National Battlefield,276368.0
CO,BLCA,Black Canyon of the Gunnison National Park,National Park,273322.0
MD,GREE,Greenbelt Park,Other Designation,271539.0
HI,HALE,Haleakala National Park,National Park,271326.0
MD,CATO,Catoctin Mountain Park,Other Designation,270500.0
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,269224.0
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument,268832.0
DC,THIS,Theodore Roosevelt Island,National Memorial,265120.0
WY,JODR,"John D. Rockefeller, Jr., Memorial Parkway",National Parkway,262378.0
VA,APCO,Appomattox Court House National Historical Park,National Historical Park,260391.0
AZ,CACH,Canyon de Chelly National Monument,National Monument,254080.0
UT,CARE,Capitol Reef National Park,National Park,251163.0
VA,PETE,Petersburg National Battlefield,National Battlefield,241679.0
TX,BIBE,Big Bend National Park,National Park,240904.0
SC,KIMO,Kings Mountain National Military Park,National Military Park,230927.0
UT,CEBR,Cedar Breaks National Monument,National Monument,225658.0
UT,ARCH,Arches National Park,National Park,225128.0
WA,FOVA,Fort Vancouver National Historic Site,National Historic Site,222229.0
FL,FOMA,Fort Matanzas National Monument,National Monument,217639.0
CO,GRSA,Great Sand Dunes National Park,National Park,217200.0
CO,GRSA,Great Sand Dunes National Preserve,National Preserve,217200.0
WA,NEPE,Nez Perce National Historical Park,National Historical Park,216602.0
NM,BAND,Bandelier National Monument,National Monument,213043.0
WY,BICA,Bighorn Canyon National Recreation Area,National Recreation Area,210614.0
ID,CRMO,Craters of the Moon National Monument,National Monument,205932.0
OR,ORCA,Oregon Caves National Monument and Preserve,National Monument,197811.0
UT,TICA,Timpanogos Cave National Monument,National Monument,194525.0
GA,FOFR,Fort Frederica National Monument,National Monument,190020.0
AR,PERI,Pea Ridge National Military Park,National Military Park,184547.0
NY,SARA,Saratoga National Historical Park,National Historical Park,180221.0
SC,FOSU,Fort Sumter National Monument,National Monument,170879.0
MN,PIPE,Pipestone National Monument,National Monument,169706.0
CA,PINN,Pinnacles National Park,National Park,168896.0
NY,SAHI,Sagamore Hill National Historic Site,National Historic Site,165154.0
IN,LIBO,Lincoln Boyhood National Memorial,National Memorial,163900.0
WY,FOLA,Fort Laramie National Historic Site,National Historic Site,157655.0
PA,HOFU,Hopewell Furnace National Historic Site,National Historic Site,157468.0
AZ,WUPA,Wupatki National Monument,National Monument,152872.0
WY,DETO,Devils Tower National Monument,National Monument,150266.0
VI,VIIS,Virgin Islands National Park,National Park,148626.0
TN,STRI,Stones River National Battlefield,National Battlefield,147753.0
NE,SCBL,Scotts Bluff National Monument,National Monument,140295.0
FL,DESO,De Soto National Memorial,National Memorial,139200.0
VA,GEWA,George Washington Birthplace National Monument,National Monument,137892.0
GA,ANDE,Andersonville National Historic Site,National Historic Site,133975.0
AZ,CAGR,Casa Grande Ruins National Monument,National Monument,117503.0
WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,109876.0
CA,LABE,Lava Beds National Monument,National Monument,108454.0
CA,REDW,Redwood National Park,National Park,104304.0
GA,OCMU,Ocmulgee National Monument,National Monument,96347.0
OH,PEVI,Perry's Victory and International Peace Memorial,National Memorial,93195.0
WA,WHMI,Whitman Mission National Historic Site,National Historic Site,90831.0
AZ,TUZI,Tuzigoot National Monument,National Monument,88741.0
AK,DENA,Denali National Park,National Park,88625.0
AK,DENA,Denali National Preserve,National Park,88625.0
CA,DEPO,Devils Postpile National Monument,National Monument,86717.0
DC,FRDO,Frederick Douglass National Historic Site,National Historic Site,85122.0
AZ,ORPI,Organ Pipe Cactus National Monument,National Monument,84587.0
OH,HOCU,Hopewell Culture National Historical Park,National Historical Park,84191.0
FL,FOCA,Fort Caroline National Memorial,National Memorial,83952.0
UT,GOSP,Golden Spike National Historic Site,National Historic Site,80778.0
SD,JECA,Jewel Cave National Monument,National Monument,79570.0
TX,FODA,Fort Davis National Historic Site,National Historic Site,79435.0
NM,AZRU,Aztec Ruins National Monument,National Monument,79428.0
IA,EFMO,Effigy Mounds National Monument,National Monument,79074.0
FL,BISC,Biscayne National Park,National Park,78147.0
IL,LIHO,Lincoln Home National Historic Site,National Historic Site,76632.0
AR,FOSM,Fort Smith National Historic Site,National Historic Site,75298.0
NY,GEGR,General Grant National Memorial,National Memorial,74457.0
UT,RABR,Rainbow Bridge National Monument,National Monument,72678.0
AZ,WACA,Walnut Canyon National Monument,National Monument,71415.0
IN,GERO,George Rogers Clark National Historical Park,National Historical Park,71393.0
AZ,TUMA,Tumacacori National Historical Park,National Historical Park,68380.0
AZ,CHIR,Chiricahua National Monument,National Monument,67912.0
AZ,HUTR,Hubbell Trading Post National Historic Site,National Historic Site,65210.0
AR,ARPO,Arkansas Post National Memorial,National Memorial,63910.0
TN,ANJO,Andrew Johnson National Historic Site,National Historic Site,63887.0
MI,GRPO,Grand Portage National Monument,National Monument,62014.0
VI,BUIS,Buck Island Reef National Monument,National Monument,61146.0
UT,CANY,Canyonlands National Park,National Park,60639.0
NM,PECO,Pecos National Historical Park,National Historical Park,60333.0
AL,HOBE,Horseshoe Bend National Military Park,National Military Park,59016.0
AZ,CORO,Coronado National Memorial,National Memorial,58138.0
UT,NABR,Natural Bridges National Monument,National Monument,57776.0
NJ,EDIS,Thomas Edison National Historical Park,National Historic Site,57772.0
NM,CAVO,Capulin Volcano National Monument,National Monument,54200.0
AZ,TONT,Tonto National Monument,National Monument,52361.0
MD,HAMP,Hampton National Historic Site,National Historic Site,48207.0
NV,GRBA,Great Basin National Park,National Park,46949.0
PA,JOFL,Johnstown Flood National Memorial,National Memorial,45861.0
MT,BIHO,Big Hole National Battlefield,National Battlefield,45850.0
NY,FEHA,Federal Hall National Memorial,National Memorial,44491.0
MO,GWCA,George Washington Carver National Monument,National Monument,43989.0
NC,MOCR,Moores Creek National Battlefield,National Battlefield,42241.0
AZ,NAVA,Navajo National Monument,National Monument,42013.0
SC,COWP,Cowpens National Battlefield,National Battlefield,41500.0
TX,GUMO,Guadalupe Mountains National Park,National Park,39068.0
NM,GICL,Gila Cliff Dwellings National Monument,National Monument,39050.0
MO,WICR,Wilson's Creek National Battlefield,National Battlefield,38700.0
MD,PISC,Piscataway Park,Other Designation,36967.0
NM,SAPU,Salinas Pueblo Missions National Monument,National Monument,36909.0
AK,SITK,Sitka National Historical Park,National Historical Park,36615.0
AZ,PISP,Pipe Spring National Monument,National Monument,33057.0
NM,CHCU,Chaco Culture National Historical Park,National Historical Park,32910.0
CA,CHIS,Channel Islands National Park,National Park,31947.0
VA,BOWA,Booker T. Washington National Monument,National Monument,31734.0
KS,FOLS,Fort Larned National Historic Site,National Historic Site,31731.0
NM,ELMO,El Morro National Monument,National Monument,31645.0
MA,JOFI,John Fitzgerald Kennedy National Historic Site,National Historic Site,31242.0
NY,THRI,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,30646.0
VI,CHRI,Christiansted National Historic Site,National Historic Site,30216.0
MA,SAIR,Saugus Iron Works National Historic Site,National Historic Site,26745.0
PA,ALPO,Allegheny Portage Railroad National Historic Site,National Historic Site,25960.0
CO,BEOL,Bent's Old Fort National Historic Site,National Historic Site,25671.0
CA,JOMU,John Muir National Historic Site,National Historic Site,24577.0
AL,RUCA,Russell Cave National Monument,National Monument,20682.0
NE,HOME,Homestead National Monument of America,National Monument,19934.0
AK,GLBA,Glacier Bay National Park,National Park,18300.0
AK,GLBA,Glacier Bay National Preserve,National Preserve,18300.0
MA,ADAM,Adams National Historical Park,National Historical Park,18086.0
NM,FOUN,Fort Union National Monument,National Monument,17483.0
NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site,16848.0
MI,ISRO,Isle Royale National Park,National Park,16116.0
UT,HOVE,Hovenweep National Monument,National Monument,11991.0
AK,KATM,Katmai National Park,National Park,11900.0
AK,KATM,Katmai National Preserve,National Preserve,11900.0
NE,AGFO,Agate Fossil Beds National Monument,National Monument,10793.0
NY,THRB,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,8296.0
NY,FOST,Fort Stanwix National Monument,National Monument,7731.0
FL,DRTO,Dry Tortugas National Park,National Park,5066.0
NY,HAGR,Hamilton Grange National Memorial,National Memorial,3982.0
AZ,FOBO,Fort Bowie National Historic Site,National Historic Site,3742.0
TX,ALFL,Alibates Flint Quarries National Monument,National Monument,2769.0
MS,BRCR,Brices Cross Roads National Battlefield Site,National Battlefield Site,2013.0
OH,WIHO,William Howard Taft National Historic Site,National Historic Site,588.0
MS,TUPE,Tupelo National Battlefield,National Battlefield,570.0
NC,BLRI,Blue Ridge Parkway,Parkway,10404800.0
DC,NACA,National Capital Parks,Park,7969600.0
MS,NATR,Natchez Trace Parkway,Parkway,7882100.0
NC,GRSM,Great Smoky Mountains National Park,National Park,7173000.0
VA,COLO,Colonial National Historical Park,National Historical Park,5965700.0
PA,GETT,Gettysburg National Military Park,National Military Park,5244600.0
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area,4419100.0
MA,CACO,Cape Cod National Seashore,National Seashore,4163200.0
VA,GWMP,George Washington Memorial Parkway,National Parkway,3138600.0
WY,GRTE,Grand Teton National Park,National Park,2556400.0
CO,ROMO,Rocky Mountain National Park,National Park,2449900.0
AZ,GRCA,Grand Canyon National Park,National Park,2402100.0
CA,YOSE,Yosemite National Park,National Park,2342200.0
DC,LINC,Lincoln Memorial,National Memorial,2330700.0
SD,MORU,Mount Rushmore National Memorial,National Memorial,2281200.0
MO,OZAR,Ozark National Scenic Riverways,National Scenic Riverway,2181400.0
VA,SHEN,Shenandoah National Park,National Park,2140600.0
WY,YELL,Yellowstone National Park,National Park,2120500.0
ME,ACAD,Acadia National Park,National Park,2101100.0
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,1960900.0
AR,HOSP,Hot Springs National Park,National Park,1824400.0
MD,ASIS,Assateague Island National Seashore,National Seashore,1660400.0
WA,OLYM,Olympic National Park,National Park,1621400.0
KY,MACA,Mammoth Cave National Park,National Park,1571900.0
DC,WAMO,Washington Monument,National Memorial,1518500.0
PA,INDE,Independence National Historical Park,National Historical Park,1506400.0
NC,CAHA,Cape Hatteras National Seashore,National Seashore,1490300.0
MO,JEFF,Jefferson National Expansion Memorial,National Memorial,1412400.0
DC,WHHO,White House,Other Designation,1391300.0
CA,PORE,Point Reyes National Seashore,National Seashore,1347700.0
WA,MORA,Mount Rainier National Park,National Park,1319400.0
MT,GLAC,Glacier National Park,National Park,1302200.0
SD,BADL,Badlands National Park,National Park,1282000.0
DC,JEFM,Thomas Jefferson Memorial,National Memorial,1279800.0
CA,CABR,Cabrillo National Monument,National Monument,1273900.0
TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area,1159600.0
CA,WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,1150900.0
FL,EVER,Everglades National Park,National Park,1100500.0
NY,STLI,Statue Of Liberty National Monument,National Monument,1077900.0
AZ,PEFO,Petrified Forest National Park,National Park,1072000.0
VA,FRSP,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,1041000.0
PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,1007900.0
HI,HAVO,Hawai'i Volcanoes National Park,National Park,956700.0
UT,ZION,Zion National Park,National Park,897000.0
TX,PAIS,Padre Island National Seashore,National Seashore,892900.0
CA,KICA,Kings Canyon National Park,National Park,887000.0
WV,HAFE,Harpers Ferry National Historical Park,National Historical Park,881900.0
CA,SEQU,Sequoia National Park,National Park,878500.0
WA,SAJH,San Juan Island National Historical Park,National Historical Park,849300.0
NM,CAVE,Carlsbad Caverns National Park,National Park,791600.0
CO,CURE,Curecanti National Recreation Area,National Recreation Area,750400.0
CA,MUWO,Muir Woods National Monument,National Monument,740100.0
VA,MANA,Manassas National Battlefield Park,National Battlefield Park,727900.0
LA,VICK,Vicksburg National Military Park,National Military Park,719500.0
ND,THRO,Theodore Roosevelt National Park,National Park,707200.0
UT,GLCA,Glen Canyon National Recreation Area,National Recreation Area,680600.0
TX,AMIS,Amistad National Recreation Area,National Recreation Area,677700.0
GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,674400.0
NC,GUCO,Guilford Courthouse National Military Park,National Military Park,636700.0
MS,SHIL,Shiloh National Battlefield,National Battlefield,608900.0
DC,FOTH,Ford's Theatre National Historic Site,National Historic Site,589100.0
CA,JOTR,Joshua Tree National Park,National Park,576000.0
MA,MIMA,Minute Man National Historical Park,National Historical Park,575800.0
NM,WHSA,White Sands National Monument,National Monument,568000.0
FL,CASA,Castillo de San Marcos National Monument,National Monument,565100.0
SD,WICA,Wind Cave National Park,National Park,550100.0
OR,CRLA,Crater Lake National Park,National Park,535000.0
CO,MEVE,Mesa Verde National Park,National Park,518500.0
MD,FOMC,Fort McHenry National Monument and Historic Shrine,National Monument,514300.0
KY,ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,489300.0
VA,RICH,Richmond National Battlefield Park,National Battlefield Park,481300.0
CA,LAVO,Lassen Volcanic National Park,National Park,447400.0
VA,PRWI,Prince William Forest Park,Park,424500.0
WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,421200.0
CO,DINO,Dinosaur National Monument,National Monument,404400.0
NY,FIIS,Fire Island National Seashore,National Seashore,395200.0
NC,WRBR,Wright Brothers National Memorial,National Memorial,392300.0
GA,KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,392100.0
UT,BRCA,Bryce Canyon National Park,National Park,377800.0
CO,COLM,Colorado National Monument,National Monument,375100.0
AZ,MOCA,Montezuma Castle National Monument,National Monument,372600.0
MA,SAMA,Salem Maritime National Historic Site,National Historic Site,348400.0
VA,PETE,Petersburg National Battlefield,National Battlefield,347800.0
MD,ANTI,Antietam National Battlefield,National Battlefield,345500.0
MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,338600.0
NC,FORA,Fort Raleigh National Historic Site,National Historic Site,325200.0
AZ,SAGU,Saguaro National Park,National Park,323300.0
MD,CATO,Catoctin Mountain Park,Other Designation,318600.0
VA,ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,313300.0
KY,CUGA,Cumberland Gap National Historical Park,National Historical Park,304700.0
NY,VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,295500.0
CA,DEVA,Death Valley National Park,National Park,290900.0
VA,WOTR,Wolf Trap National Park for the Performing Arts,National Park,282200.0
TN,FODO,Fort Donelson National Battlefield,National Battlefield,280500.0
NJ,MORR,Morristown National Historical Park,National Historical Park,280100.0
ID,CRMO,Craters of the Moon National Monument,National Monument,274600.0
PA,FONE,Fort Necessity National Battlefield,National Battlefield,269900.0
NY,HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,269600.0
LA,JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,260300.0
UT,CEBR,Cedar Breaks National Monument,National Monument,243300.0
DC,THIS,Theodore Roosevelt Island,National Memorial,242500.0
VA,APCO,Appomattox Court House National Historical Park,National Historical Park,240100.0
AZ,SUCR,Sunset Crater Volcano National Monument,National Monument,237700.0
UT,CARE,Capitol Reef National Park,National Park,225500.0
SC,KIMO,Kings Mountain National Military Park,National Military Park,225200.0
CO,BLCA,Black Canyon of the Gunnison National Park,National Park,223600.0
