State,Code,Name,Type,Visitors
AK,BELA,Bering Land Bridge National Preserve,National Preserve,45498.0
CA,CECH,Casar E. Chpvez National Monument,National Monument,44875.0
CO,SAND,Sand Creek Massacre National Historic Site,National Historic Site,37313.0
TX,RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River,22754.0
MI,KEWE,Keweenaw National Historical Park,National Historical Park,14612.0
OH,CHYO,Charles Young Buffalo Soldiers National Monument,National Monument,14204.0
AK,ANIA,Aniakchak National Monument,National Monument,10490.0
AK,ANIA,Aniakchak National Preserve,National Preserve,10490.0
CA,POCH,Port Chicago Naval Magazine National Memorial,National Memorial,6349.0
DC,BEPA,Belmont-Paul Women's Equality National Monument,National Monument,2704.0
HI,HONO,Honouliuli National Monument,National Monument,
WA,MIIN,Minidoka National Historic Site,National Historic Site,
NM,VALL,Valles Caldera National Preserve,Valles Caldera National Preserve,
IL,PULL,Pullman National Monument,National Monument,
CA,GOGA,Golden Gate National Recreation Area,National Recreation Area,15638777.0
NC,BLRI,Blue Ridge Parkway,Parkway,15175578.0
NC,GRSM,Great Smoky Mountains National Park,National Park,11312786.0
VA,GWMP,George Washington Memorial Parkway,National Parkway,10323339.0
NY,GATE,Gateway National Recreation Area,National Recreation Area,8651770.0
DC,LINC,Lincoln Memorial,National Memorial,7915934.0
NV,LAKE,Lake Mead National Recreation Area,National Recreation Area,7175891.0
AZ,GRCA,Grand Canyon National Park,National Park,5969811.0
MS,NATR,Natchez Trace Parkway,Parkway,5891315.0
DC,VIVE,Vietnam Veterans Memorial,National Memorial,5299713.0
PA,INDE,Independence National Historical Park,National Historical Park,5067510.0
CA,YOSE,Yosemite National Park,National Park,5028868.0
DC,WWII,World War II Memorial,National Memorial,4856532.0
DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,4813078.0
NY,CACL,Castle Clinton National Monument,National Monument,4812930.0
FL,GUIS,Gulf Islands National Seashore,National Seashore,4771309.0
MA,CACO,Cape Cod National Seashore,National Seashore,4692796.0
CO,ROMO,Rocky Mountain National Park,National Park,4517585.0
